Symptoms,Disease,Medicine,Causes,Precautions,Severity,Specialist,Treatment duraton in days)
"Fever, Cough","Common Cold, Allergy","Ibuprofen, Rest",Bacterial infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,4
"Headache, Fatigue","Migraine, Bronchitis",Sumatriptan,Viral infection,Maintain hygiene and rest,Moderate,General Physician,28
Shortness Of Breath,"Asthma, Allergy",Albuterol Inhaler,Viral infection,Maintain hygiene and rest,Moderate,General Physician,30
"Nausea, Vomiting","Gastroenteritis, COVID-19",Oral Rehydration,Viral infection,Maintain hygiene and rest,Moderate,General Physician,30
Sore Throat,"Strep Throat, Malaria",Penicillin,Viral infection,Maintain hygiene and rest,Moderate,General Physician,11
"Joint Pain, Fatigue","Arthritis, COVID-19",Nsaids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,3
"Chest Pain, Dizziness","Hypertension, Dengue",Amlodipine,Viral infection,Maintain hygiene and rest,High,General Physician,27
"Itching, Redness","Allergic Reaction, Dengue",Antihistamine,Viral infection,Maintain hygiene and rest,Moderate,General Physician,27
"Abdominal Pain, Bloating","Indigestion, Allergy",Antacids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,23
"Fatigue, Sadness","Major Depressive, Bronchitis",Sertraline,Viral infection,Maintain hygiene and rest,Moderate,General Physician,19
"Fever, Muscle Aches","Influenza, Bronchitis",Acetaminophen,Bacterial infection,Maintain hygiene and rest,Moderate,General Physician,3
"Cough, Sneezing","Common Cold, COVID-19","Honey, Rest",Viral infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,8
"Nausea, Dizziness","Motion Sickness, Common Cold",Dimenhydrinate,Viral infection,Maintain hygiene and rest,Moderate,General Physician,7
Shortness Of Breath,"Chronic Bronchitis, Dengue",Inhalers,Viral infection,Maintain hygiene and rest,Moderate,General Physician,29
"Headache, Blurred Vision","Migraine, COVID-19",Beta-Blockers,Viral infection,Maintain hygiene and rest,Moderate,General Physician,8
"Stomach Pain, Diarrhea","Gastritis, Malaria","Antacids, Rest",Viral infection,Maintain hygiene and rest,Moderate,General Physician,14
"Joint Pain, Swelling","Rheumatoid Arthritis, Malaria",Nsaids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,24
"Fever, Sore Throat","Tonsillitis, Flu","Fluids, Rest",Bacterial infection,Maintain hygiene and rest,Moderate,General Physician,26
"Back Pain, Numbness","Sciatica, Dengue",Pain Relievers,Viral infection,Maintain hygiene and rest,Moderate,General Physician,4
"Nausea, Vomiting","Morning Sickness, COVID-19","Ginger, Vitamin B6",Viral infection,Maintain hygiene and rest,Moderate,General Physician,15
"Fatigue, Weakness","Iron Deficiency, Dengue",Iron Supplements,Viral infection,Maintain hygiene and rest,Moderate,General Physician,7
"Anxiety, Rapid Heartbeat","Panic Disorder, Malaria",Cognitive Therapy,Viral infection,Maintain hygiene and rest,Moderate,General Physician,8
Shortness Of Breath,"Sleep Apnea, COVID-19",Cpap Machine,Viral infection,Maintain hygiene and rest,Moderate,General Physician,26
"Skin Rash, Itching","Dermatitis, Dengue",Topical Steroids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,13
"Cough, Fever","Respiratory Infection, COVID-19","Antivirals, Rest",Bacterial infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,5
"Joint Pain, Fatigue","Arthritis, COVID-19",Pain Relievers,Viral infection,Maintain hygiene and rest,Moderate,General Physician,24
"Dizziness, Fatigue","Heat Exhaustion, Bronchitis","Hydration, Rest",Viral infection,Maintain hygiene and rest,Moderate,General Physician,30
"Headache, Sensitivity","Tension Headache, Dengue","Relaxation, Nsaids",Viral infection,Maintain hygiene and rest,Moderate,General Physician,5
"Abdominal Pain, Bloating O","Indigestion, Flu",Antacids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,5
"Nausea, Cramps","Menstrual Cramps, Dengue",Pain Relievers,Viral infection,Maintain hygiene and rest,Moderate,General Physician,14
"Chest Pain, Shortness Of Breath","Coronary Arterydisease, Common Cold",Nitroglycerin,Viral infection,Maintain hygiene and rest,High,General Physician,23
"Fatigue, Difficulty Breathing","Thyroid Disorder, COVID-19",Levothyroxine,Viral infection,Maintain hygiene and rest,Moderate,General Physician,6
"Fever, Chills","Pneumonia, Bronchitis","Antibiotics, Rest",Bacterial infection,Maintain hygiene and rest,Moderate,General Physician,25
"Cough, Shortness Of Breath","Covid-19, Dengue","Isolation, Fluids",Viral infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,29
"Muscle Pain, Fatigue","Muscle Strain, Allergy","Rest, Pain Relievers",Viral infection,Maintain hygiene and rest,Moderate,General Physician,25
"Headache, Blurred Vision","Vision Fatigue, Dengue","Rest, Eye Exercises",Viral infection,Maintain hygiene and rest,Moderate,General Physician,28
"Stomach Pain, Diarrhea","Gastroenteritis, Allergy","Fluids, Bland Diet",Viral infection,Maintain hygiene and rest,Moderate,General Physician,6
"Back Pain, Numbness","Herniated Disc, COVID-19","Pain Relievers, Pt",Viral infection,Maintain hygiene and rest,Moderate,General Physician,17
"Fatigue, Weakness","Chronic Fatigue Syndrome, Bronchitis","Rest, Lifestyle",Viral infection,Maintain hygiene and rest,Moderate,General Physician,21
"Anxiety, Palpitations","Anxiety Disorder, Common Cold","Therapy, Medication",Viral infection,Maintain hygiene and rest,Moderate,General Physician,8
"Chest Pain, Shortness Of Breath","Muscle Overuse, Flu","Rest, Stretching",Viral infection,Maintain hygiene and rest,High,General Physician,28
"Joint Pain, Swelling","Arthritis, Flu",Nsaids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,22
Typhoid,"fever, abdominal pain, diarrhea, Allergy",ciprofloxacin,bacterial infection (salmonella),"boiled water, hygiene",Severe,Infectious Disease,6
"Fatigue, Sadness","Major Depressive Disorder, Bronchitis",Sertraline,Viral infection,Maintain hygiene and rest,Moderate,General Physician,4
"Cough, Shortness Of Breat","Covid-19, Common Cold","Isolation, Fluids",Viral infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,7
"Itching, Redness","Allergic Reacti, Allergy",On   Antihistamine,Viral infection,Maintain hygiene and rest,Moderate,General Physician,15
"Anxiety, Palpitations","Anxiety Disorder, COVID-19","Therapy, Medication",Viral infection,Maintain hygiene and rest,Moderate,General Physician,23
"Chest Pain, Shortness","Muscle Overuse, Dengue","Rest, Stretching",Viral infection,Maintain hygiene and rest,High,General Physician,4
"Fatigue, Weakness","Chronic Fatigue, Flu","Rest, Lifestyle",Viral infection,Maintain hygiene and rest,Moderate,General Physician,7
"Joint Pain, Swelling","Arthritis, COVID-19",Nsaids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,28
"Anxiety, Rapid Heartbeat","Panic Disorder, Common Cold",Cognitive Therapy,Viral infection,Maintain hygiene and rest,Moderate,General Physician,26
"Skin Rash, Itching","Dermatitis, Flu",Topical Steroids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,6
"Cough, Fever","Respiratoryinfection, Flu","Antivirals, Rest",Bacterial infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,10
"Dizziness, Fatigue","Heat Exhaustion, Dengue","Hydration, Rest",Viral infection,Maintain hygiene and rest,Moderate,General Physician,24
"Nausea, Cramps","Menstrual Cramps, Bronchitis",Pain Relievers,Viral infection,Maintain hygiene and rest,Moderate,General Physician,19
"Chest Pain, Shortness Of Breath","Coronary Artery, Allergy","Nitroglycerin,Aspirin",Viral infection,Maintain hygiene and rest,High,General Physician,20
"Fatigue, Difficulty Breathing","Thyroid Disorder, Flu",Levothyroxine,Viral infection,Maintain hygiene and rest,Moderate,General Physician,8
"Cough, Shortness Of Brea","Covid-19, Flu","Isolation, Fluids",Viral infection,"Rest, hydration, and avoid cold exposure",Moderate,Pulmonologist,4
"Itching, Redness","Allergic Reaction, Bronchitis",Antihistamine,Viral infection,Maintain hygiene and rest,Moderate,General Physician,23
"Nausea, Vomiting","Gastroenteritis, Malaria",Oral Rehydration,Viral infection,Maintain hygiene and rest,Moderate,General Physician,22
"Stomach Pain, Diarrhea","Gastroenteritis, Allergy","Fluids, Bland Diet",Viral infection,Maintain hygiene and rest,Moderate,General Physician,27
"Back Pain, Numbness","Herniated Disc, Dengue","Pain Relievers, Pt",Viral infection,Maintain hygiene and rest,Moderate,General Physician,19
"Fatigue, Weakness","Chronic Fatigue Syndrome, Common Cold","Rest, Lifestyle",Viral infection,Maintain hygiene and rest,Moderate,General Physician,25
"Anxiety, Palpitations","Anxiety Disorder, Malaria","Therapy, Medication",Viral infection,Maintain hygiene and rest,Moderate,General Physician,12
"Joint Pain, Swelling","Is  Arthritis, Common Cold",Nsaids,Viral infection,Maintain hygiene and rest,Moderate,General Physician,7
